index_global,book,lesson,index_in_book,char,unicode,pinyin,status,notes,voice_asset
1,1,,1,人,U+4EBA,rén,ok,,voice/b1_001_4EBA.pcm
2,1,,2,口,U+53E3,kǒu,ok,,voice/b1_002_53E3.pcm
3,1,,3,大,U+5927,dà,ok,,voice/b1_003_5927.pcm
4,1,,4,中,U+4E2D,zhōng,ok,,voice/b1_004_4E2D.pcm
5,1,,5,小,U+5C0F,xiǎo,ok,,voice/b1_005_5C0F.pcm
6,1,,6,哭,U+54ED,kū,ok,,voice/b1_006_54ED.pcm
7,1,,7,笑,U+7B11,xiào,ok,,voice/b1_007_7B11.pcm
8,1,,8,一,U+4E00,yī,ok,,voice/b1_008_4E00.pcm
9,1,,9,上,U+4E0A,shàng,ok,,voice/b1_009_4E0A.pcm
10,1,,10,下,U+4E0B,xià,ok,,voice/b1_010_4E0B.pcm
11,1,,11,爸,U+7238,bà,ok,,voice/b1_011_7238.pcm
12,1,,12,妈,U+5988,mā,ok,,voice/b1_012_5988.pcm
13,1,,13,天,U+5929,tiān,ok,,voice/b1_013_5929.pcm
14,1,,14,太,U+592A,tài,ok,,voice/b1_014_592A.pcm
15,1,,15,月,U+6708,yuè,ok,,voice/b1_015_6708.pcm
16,1,,16,二,U+4E8C,èr,ok,,voice/b1_016_4E8C.pcm
17,1,,17,地,U+5730,dì,ok,,voice/b1_017_5730.pcm
18,1,,18,阳,U+9633,yáng,ok,,voice/b1_018_9633.pcm
19,1,,19,亮,U+4EAE,liàng,ok,,voice/b1_019_4EAE.pcm
20,1,,20,星,U+661F,xīng,ok,,voice/b1_020_661F.pcm
21,1,,21,云,U+4E91,yún,ok,,voice/b1_021_4E91.pcm
22,1,,22,火,U+706B,huǒ,ok,,voice/b1_022_706B.pcm
23,1,,23,水,U+6C34,shuǐ,ok,,voice/b1_023_6C34.pcm
24,1,,24,三,U+4E09,sān,ok,,voice/b1_024_4E09.pcm
25,1,,25,土,U+571F,tǔ,ok,,voice/b1_025_571F.pcm
26,1,,26,山,U+5C71,shān,ok,,voice/b1_026_5C71.pcm
27,1,,27,石,U+77F3,shí,ok,,voice/b1_027_77F3.pcm
28,1,,28,木,U+6728,mù,ok,,voice/b1_028_6728.pcm
29,1,,29,我,U+6211,wǒ,ok,,voice/b1_029_6211.pcm
30,1,,30,好,U+597D,hǎo,ok,,voice/b1_030_597D.pcm
31,1,,31,有,U+6709,yǒu,ok,,voice/b1_031_6709.pcm
32,1,,32,田,U+7530,tián,ok,,voice/b1_032_7530.pcm
33,1,,33,牛,U+725B,niú,ok,,voice/b1_033_725B.pcm
34,1,,34,羊,U+7F8A,yáng,ok,,voice/b1_034_7F8A.pcm
35,1,,35,聪,U+806A,cōng,ok,,voice/b1_035_806A.pcm
36,1,,36,耳,U+8033,ěr,ok,,voice/b1_036_8033.pcm
37,1,,37,目,U+76EE,mù,ok,,voice/b1_037_76EE.pcm
38,1,,38,心,U+5FC3,xīn,ok,,voice/b1_038_5FC3.pcm
39,1,,39,和,U+548C,hé,ok,,voice/b1_039_548C.pcm
40,1,,40,四,U+56DB,sì,ok,,voice/b1_040_56DB.pcm
41,1,,41,明,U+660E,míng,ok,,voice/b1_041_660E.pcm
42,1,,42,头,U+5934,tóu,ok,,voice/b1_042_5934.pcm
43,1,,43,眉,U+7709,méi,ok,,voice/b1_043_7709.pcm
44,1,,44,鼻,U+9F3B,bí,ok,,voice/b1_044_9F3B.pcm
45,1,,45,手,U+624B,shǒu,ok,,voice/b1_045_624B.pcm
46,1,,46,花,U+82B1,huā,ok,,voice/b1_046_82B1.pcm
47,1,,47,树,U+6811,shù,ok,,voice/b1_047_6811.pcm
48,1,,48,五,U+4E94,wǔ,ok,,voice/b1_048_4E94.pcm
49,1,,49,草,U+8349,cǎo,ok,,voice/b1_049_8349.pcm
50,1,,50,叶,U+53F6,yè,ok,,voice/b1_050_53F6.pcm
51,1,,51,日,U+65E5,rì,ok,,voice/b1_051_65E5.pcm
52,1,,52,风,U+98CE,fēng,ok,,voice/b1_052_98CE.pcm
53,1,,53,雨,U+96E8,yǔ,ok,,voice/b1_053_96E8.pcm
54,1,,54,的,U+7684,de,ok,,voice/b1_054_7684.pcm
55,1,,55,孩,U+5B69,hái,ok,,voice/b1_055_5B69.pcm
56,1,,56,六,U+516D,liù,ok,,voice/b1_056_516D.pcm
57,1,,57,白,U+767D,bái,ok,,voice/b1_057_767D.pcm
58,1,,58,红,U+7EA2,hóng,ok,,voice/b1_058_7EA2.pcm
59,1,,59,是,U+662F,shì,ok,,voice/b1_059_662F.pcm
60,1,,60,家,U+5BB6,jiā,ok,,voice/b1_060_5BB6.pcm
61,1,,61,多,U+591A,duō,ok,,voice/b1_061_591A.pcm
62,1,,62,唱,U+5531,chàng,ok,,voice/b1_062_5531.pcm
63,1,,63,子,U+5B50,zi,ok,,voice/b1_063_5B50.pcm
64,1,,64,七,U+4E03,qī,ok,,voice/b1_064_4E03.pcm
65,1,,65,爱,U+7231,ài,ok,,voice/b1_065_7231.pcm
66,1,,66,爷,U+7237,yé,ok,,voice/b1_066_7237.pcm
67,1,,67,奶,U+5976,nǎi,ok,,voice/b1_067_5976.pcm
68,1,,68,少,U+5C11,shǎo,ok,,voice/b1_068_5C11.pcm
69,1,,69,歌,U+6B4C,gē,ok,,voice/b1_069_6B4C.pcm
70,1,,70,不,U+4E0D,bù,ok,,voice/b1_070_4E0D.pcm
71,1,,71,朋,U+670B,péng,ok,,voice/b1_071_670B.pcm
72,1,,72,八,U+516B,bā,ok,,voice/b1_072_516B.pcm
73,1,,73,宝,U+5B9D,bǎo,ok,,voice/b1_073_5B9D.pcm
74,1,,74,在,U+5728,zài,ok,,voice/b1_074_5728.pcm
75,1,,75,学,U+5B66,xué,ok,,voice/b1_075_5B66.pcm
76,1,,76,书,U+4E66,shū,ok,,voice/b1_076_4E66.pcm
77,1,,77,游,U+6E38,yóu,ok,,voice/b1_077_6E38.pcm
78,1,,78,友,U+53CB,yǒu,ok,,voice/b1_078_53CB.pcm
79,1,,79,儿,U+513F,ér,ok,,voice/b1_079_513F.pcm
80,1,,80,九,U+4E5D,jiǔ,ok,,voice/b1_080_4E5D.pcm
81,1,,81,贝,U+8D1D,bèi,ok,,voice/b1_081_8D1D.pcm
82,1,,82,生,U+751F,shēng,ok,,voice/b1_082_751F.pcm
83,1,,83,习,U+4E60,xí,ok,,voice/b1_083_4E60.pcm
84,1,,84,看,U+770B,kàn,ok,,voice/b1_084_770B.pcm
85,1,,85,戏,U+620F,xì,ok,,voice/b1_085_620F.pcm
86,1,,86,字,U+5B57,zì,ok,,voice/b1_086_5B57.pcm
87,1,,87,气,U+6C14,qì,ok,,voice/b1_087_6C14.pcm
88,1,,88,十,U+5341,shí,ok,,voice/b1_088_5341.pcm
89,2,,1,会,U+4F1A,huì,ok,,voice/b2_001_4F1A.pcm
90,2,,2,见,U+89C1,jiàn,ok,,voice/b2_002_89C1.pcm
91,2,,3,早,U+65E9,zǎo,ok,,voice/b2_003_65E9.pcm
92,2,,4,雪,U+96EA,xuě,ok,,voice/b2_004_96EA.pcm
93,2,,5,鸡,U+9E21,jī,ok,,voice/b2_005_9E21.pcm
94,2,,6,绿,U+7EFF,lǜ,ok,,voice/b2_006_7EFF.pcm
95,2,,7,黄,U+9EC4,huáng,ok,,voice/b2_007_9EC4.pcm
96,2,,8,青,U+9752,qīng,ok,,voice/b2_008_9752.pcm
97,2,,9,鱼,U+9C7C,yú,ok,,voice/b2_009_9C7C.pcm
98,2,,10,做,U+505A,zuò,ok,,voice/b2_010_505A.pcm
99,2,,11,飞,U+98DE,fēi,ok,,voice/b2_011_98DE.pcm
100,2,,12,跑,U+8DD1,pǎo,ok,,voice/b2_012_8DD1.pcm
101,2,,13,要,U+8981,yào,ok,,voice/b2_013_8981.pcm
102,2,,14,吃,U+5403,chī,ok,,voice/b2_014_5403.pcm
103,2,,15,鸟,U+9E1F,niǎo,ok,,voice/b2_015_9E1F.pcm
104,2,,16,他,U+4ED6,tā,ok,,voice/b2_016_4ED6.pcm
105,2,,17,们,U+4EEC,men,ok,,voice/b2_017_4EEC.pcm
106,2,,18,春,U+6625,chūn,ok,,voice/b2_018_6625.pcm
107,2,,19,夏,U+590F,xià,ok,,voice/b2_019_590F.pcm
108,2,,20,秋,U+79CB,qiū,ok,,voice/b2_020_79CB.pcm
109,2,,21,冬,U+51AC,dōng,ok,,voice/b2_021_51AC.pcm
110,2,,22,季,U+5B63,jì,ok,,voice/b2_022_5B63.pcm
111,2,,23,都,U+90FD,dōu,ok,,voice/b2_023_90FD.pcm
112,2,,24,个,U+4E2A,gè,ok,,voice/b2_024_4E2A.pcm
113,2,,25,狗,U+72D7,gǒu,ok,,voice/b2_025_72D7.pcm
114,2,,26,猫,U+732B,māo,ok,,voice/b2_026_732B.pcm
115,2,,27,蓝,U+84DD,lán,ok,,voice/b2_027_84DD.pcm
116,2,,28,落,U+843D,luò,ok,,voice/b2_028_843D.pcm
117,2,,29,真,U+771F,zhēn,ok,,voice/b2_029_771F.pcm
118,2,,30,开,U+5F00,kāi,ok,,voice/b2_030_5F00.pcm
119,2,,31,说,U+8BF4,shuō,ok,,voice/b2_031_8BF4.pcm
120,2,,32,也,U+4E5F,yě,ok,,voice/b2_032_4E5F.pcm
121,2,,33,马,U+9A6C,mǎ,ok,,voice/b2_033_9A6C.pcm
122,2,,34,米,U+7C73,mǐ,ok,,voice/b2_034_7C73.pcm
123,2,,35,哥,U+54E5,gē,ok,,voice/b2_035_54E5.pcm
124,2,,36,姐,U+59D0,jiě,ok,,voice/b2_036_59D0.pcm
125,2,,37,来,U+6765,lái,ok,,voice/b2_037_6765.pcm
126,2,,38,黑,U+9ED1,hēi,ok,,voice/b2_038_9ED1.pcm
127,2,,39,去,U+53BB,qù,ok,,voice/b2_039_53BB.pcm
128,2,,40,出,U+51FA,chū,ok,,voice/b2_040_51FA.pcm
129,2,,41,跳,U+8DF3,tiào,ok,,voice/b2_041_8DF3.pcm
130,2,,42,着,U+7740,zhe,ok,,voice/b2_042_7740.pcm
131,2,,43,了,U+4E86,le,ok,,voice/b2_043_4E86.pcm
132,2,,44,你,U+4F60,nǐ,ok,,voice/b2_044_4F60.pcm
133,2,,45,又,U+53C8,yòu,ok,,voice/b2_045_53C8.pcm
134,2,,46,弟,U+5F1F,dì,ok,,voice/b2_046_5F1F.pcm
135,2,,47,妹,U+59B9,mèi,ok,,voice/b2_047_59B9.pcm
136,2,,48,东,U+4E1C,dōng,ok,,voice/b2_048_4E1C.pcm
137,2,,49,就,U+5C31,jiù,ok,,voice/b2_049_5C31.pcm
138,2,,50,还,U+8FD8,hái,ok,,voice/b2_050_8FD8.pcm
139,2,,51,快,U+5FEB,kuài,ok,,voice/b2_051_5FEB.pcm
140,2,,52,得,U+5F97,dé,ok,,voice/b2_052_5F97.pcm
141,2,,53,西,U+897F,xī,ok,,voice/b2_053_897F.pcm
142,2,,54,乐,U+4E50,lè,ok,,voice/b2_054_4E50.pcm
143,2,,55,到,U+5230,dào,ok,,voice/b2_055_5230.pcm
144,2,,56,起,U+8D77,qǐ,ok,,voice/b2_056_8D77.pcm
145,2,,57,玩,U+73A9,wán,ok,,voice/b2_057_73A9.pcm
146,2,,58,捉,U+6349,zhuō,ok,,voice/b2_058_6349.pcm
147,2,,59,迷,U+8FF7,mí,ok,,voice/b2_059_8FF7.pcm
148,2,,60,球,U+7403,qiú,ok,,voice/b2_060_7403.pcm
149,2,,61,很,U+5F88,hěn,ok,,voice/b2_061_5F88.pcm
150,2,,62,高,U+9AD8,gāo,ok,,voice/b2_062_9AD8.pcm
151,2,,63,鸭,U+9E2D,yā,ok,,voice/b2_063_9E2D.pcm
152,2,,64,哈,U+54C8,hā,ok,,voice/b2_064_54C8.pcm
153,2,,65,方,U+65B9,fāng,ok,,voice/b2_065_65B9.pcm
154,2,,66,爬,U+722C,pá,ok,,voice/b2_066_722C.pcm
155,2,,67,藏,U+85CF,cáng,ok,,voice/b2_067_85CF.pcm
156,2,,68,兴,U+5174,xīng,ok,,voice/b2_068_5174.pcm
157,2,,69,向,U+5411,xiàng,ok,,voice/b2_069_5411.pcm
158,2,,70,对,U+5BF9,duì,ok,,voice/b2_070_5BF9.pcm
159,2,,71,能,U+80FD,néng,ok,,voice/b2_071_80FD.pcm
160,2,,72,叫,U+53EB,jiào,ok,,voice/b2_072_53EB.pcm
161,2,,73,变,U+53D8,biàn,ok,,voice/b2_073_53D8.pcm
162,2,,74,问,U+95EE,wèn,ok,,voice/b2_074_95EE.pcm
163,2,,75,成,U+6210,chéng,ok,,voice/b2_075_6210.pcm
164,2,,76,再,U+518D,zài,ok,,voice/b2_076_518D.pcm
165,2,,77,急,U+6025,jí,ok,,voice/b2_077_6025.pcm
166,2,,78,教,U+6559,jiào,ok,,voice/b2_078_6559.pcm
167,2,,79,门,U+95E8,mén,ok,,voice/b2_079_95E8.pcm
168,2,,80,只,U+53EA,zhǐ,ok,,voice/b2_080_53EA.pcm
169,2,,81,回,U+56DE,huí,ok,,voice/b2_081_56DE.pcm
